year,city_nhood,filings,orders,rental_units,filing_rate,order_rate
2021,HALYARD PARK,7,3,306,2.287581699346405,0.9803921568627451
2021,HAMPTON HEIGHTS,133,50,1458,9.122085048010973,3.4293552812071333
2021,HARAMBEE,268,120,3483,7.694516221648004,3.4453057708871664
2021,HARBOR VIEW,3,2,634,0.47318611987381703,0.31545741324921134
2021,HARDER'S OAKS,1,1,13,7.6923076923076925,7.6923076923076925
2021,HAVENWOODS,4,1,90,4.444444444444445,1.1111111111111112
2021,HAWLEY FARMS,6,2,240,2.5,0.8333333333333334
2021,HAWTHORNE GLEN,1,1,77,1.2987012987012987,1.2987012987012987
2021,HAYMARKET,38,14,166,22.89156626506024,8.433734939759036
2021,HERITAGE HEIGHTS,1,0,16,6.25,0
2021,HIGHWOOD ESTATES,8,5,627,1.2759170653907497,0.7974481658692184
2021,HILLSIDE,18,8,498,3.614457831325301,1.6064257028112447
2021,HISTORIC MITCHELL STREET,154,75,3070,5.0162866449511405,2.44299674267101
2021,HISTORIC THIRD WARD,1,1,1551,0.06447453255963895,0.06447453255963895
2021,HONEY CREEK MANOR,8,2,415,1.9277108433734942,0.48192771084337355
2021,HONEY CREEK PARKWAY,4,1,236,1.694915254237288,0.423728813559322
2021,JACKSON PARK,41,22,1411,2.9057406094968106,1.559177888022679
2021,JOHNSON'S WOODS,9,4,595,1.5126050420168067,0.6722689075630253
2021,JUNEAU TOWN,23,13,3210,0.7165109034267912,0.4049844236760125
2021,KILBOURN TOWN,57,24,2759,2.065965929684668,0.8698803914461761
2021,KING PARK,21,10,827,2.539298669891173,1.2091898428053205
2021,KOPS PARK,8,2,321,2.4922118380062304,0.6230529595015576
2021,LAYTON PARK,44,22,1127,3.904170363797693,1.9520851818988465
2021,LENOX HEIGHTS,18,6,421,4.275534441805226,1.4251781472684086
2021,LINCOLN CREEK,102,36,1545,6.601941747572816,2.3300970873786406
2021,LINCOLN PARK,52,26,1074,4.8417132216014895,2.4208566108007448
2021,LINCOLN VILLAGE,155,80,2722,5.694342395297576,2.9390154298310067
2021,LINDSAY PARK,73,27,997,7.3219658976930795,2.708124373119358
2021,LITTLE MENOMONEE PARKWAY,7,3,179,3.910614525139665,1.675977653631285
2021,LONG VIEW,44,14,551,7.985480943738657,2.540834845735027
2021,LOWER EAST SIDE,78,33,8529,0.9145269081955681,0.38691523039043263
2021,LYONS PARK,4,2,146,2.73972602739726,1.36986301369863
2021,MACK ACRES,1,0,3,33.33333333333333,0
2021,MAITLAND PARK,3,0,208,1.4423076923076923,0
2021,MAPLE TREE,47,16,673,6.983655274888559,2.37741456166419
2021,MARTIN DRIVE,14,5,486,2.880658436213992,1.02880658436214
2021,MC GOVERN PARK,53,21,589,8.998302207130731,3.5653650254668934
2021,MELODY VIEW,2,1,165,1.2121212121212122,0.6060606060606061
2021,MENOMONEE RIVER HILLS,96,46,1440,6.666666666666667,3.194444444444444
2021,MENOMONEE RIVER HILLS EAST,24,12,478,5.02092050209205,2.510460251046025
2021,MENOMONEE RIVER PARKWAY,3,0,83,3.614457831325301,0
2021,MERRILL PARK,76,42,1206,6.301824212271974,3.482587064676617
2021,METCALFE PARK,97,26,751,12.916111850865514,3.462050599201065
2021,MIDTOWN,116,46,1775,6.535211267605634,2.591549295774648
2021,MILLER VALLEY,18,6,382,4.712041884816754,1.5706806282722512
2021,MITCHELL FIELD,5,2,588,0.8503401360544218,0.3401360544217687
2021,MITCHELL PARK,18,3,177,10.16949152542373,1.694915254237288
2021,MITCHELL WEST,13,5,847,1.5348288075560803,0.5903187721369539
2021,MORGAN HEIGHTS,2,0,305,0.6557377049180327,0
2021,MORGANDALE,13,6,958,1.3569937369519833,0.6263048016701461
2021,MOUNT MARY,3,1,156,1.9230769230769231,0.641025641025641
2021,MURRAY HILL,23,10,3277,0.7018614586512053,0.3051571559353067
2021,MUSKEGO WAY,103,49,2740,3.759124087591241,1.7883211678832116
2021,NASH PARK,16,2,420,3.8095238095238098,0.4761904761904762
2021,NATIONAL PARK,17,10,572,2.972027972027972,1.7482517482517483
2021,NEW COELN,12,4,24,50,16.666666666666664
2021,NORTH DIVISION,174,65,2074,8.389585342333655,3.13404050144648
2021,NORTH MEADOWS,16,6,1289,1.2412723041117144,0.46547711404189296
2021,NORTHPOINT,6,0,1430,0.4195804195804196,0
2021,NORTHRIDGE LAKES,2,2,1098,0.18214936247723132,0.18214936247723132
2021,OLD NORTH MILWAUKEE,376,155,3896,9.650924024640657,3.978439425051335
2021,PARK VIEW,2,0,41,4.878048780487805,0
2021,PARK WEST,182,74,1648,11.04368932038835,4.490291262135923
2021,PARKWAY HILLS,9,5,196,4.591836734693878,2.5510204081632653
2021,POLONIA,33,19,958,3.4446764091858038,1.9832985386221296
2021,RIVER BEND,3,2,228,1.3157894736842104,0.8771929824561403
2021,RIVERSIDE PARK,6,2,585,1.0256410256410255,0.3418803418803419
2021,RIVERWEST,55,23,3973,1.384344324188271,0.5789076264787314
2021,ROLLING GREEN,6,1,429,1.3986013986013985,0.2331002331002331
2021,ROOSEVELT GROVE,106,37,1296,8.179012345679013,2.8549382716049383
2021,ROOT CREEK,7,1,431,1.6241299303944314,0.23201856148491878
2021,RUFUS KING,87,36,1151,7.558644656820157,3.127715030408341
2021,SAINT JOSEPH,129,43,1530,8.431372549019608,2.8104575163398695
2021,SAVELAND PARK,3,1,147,2.0408163265306123,0.6802721088435374
2021,SHERMAN PARK,205,79,1745,11.74785100286533,4.527220630372493
2021,SILVER CITY,25,16,910,2.7472527472527473,1.7582417582417582
2021,SILVER SPRING,252,91,2722,9.257898603967671,3.3431300514327704
2021,SILVER SWAN,81,32,876,9.246575342465754,3.65296803652968
2021,SOUTHGATE,2,0,203,0.9852216748768473,0
2021,SOUTHPOINT,39,9,945,4.1269841269841265,0.9523809523809524
2021,ST. AMELIAN'S,22,3,356,6.179775280898876,0.8426966292134831
2021,STORY HILL,4,1,398,1.0050251256281406,0.25125628140703515
2021,SUNSET HEIGHTS,49,16,696,7.040229885057471,2.2988505747126435
2021,THE VALLEY / PIGSVILLE,4,3,139,2.877697841726619,2.158273381294964
2021,THURSTON WOODS,84,29,972,8.641975308641975,2.983539094650206
2021,TIMMERMAN AIRPORT,5,1,161,3.1055900621118013,0.6211180124223602
2021,TIMMERMAN WEST,65,25,1357,4.789977892409728,1.8422991893883567
2021,TIPPECANOE,7,2,730,0.9589041095890412,0.273972602739726
2021,TOWN & COUNTRY MANOR,21,6,624,3.3653846153846154,0.9615384615384616
2021,TOWN OF LAKE,11,5,601,1.8302828618968388,0.8319467554076538
2021,TRIANGLE,6,2,99,6.0606060606060606,2.0202020202020203
2021,TRIANGLE NORTH,21,6,498,4.216867469879518,1.2048192771084338
2021,TRIPOLI PARK,23,9,295,7.796610169491526,3.050847457627119
2021,UPPER EAST SIDE,2,1,923,0.21668472372697722,0.10834236186348861
2021,UPTOWN,132,48,1594,8.281053952321205,3.0112923462986196
2021,VALHALLA,81,28,1114,7.271095152603231,2.5134649910233393
2021,VALLEY FORGE,3,1,54,5.555555555555555,1.8518518518518516
2021,VOGEL PARK,33,11,736,4.483695652173913,1.4945652173913044
2021,WAHL PARK,58,20,621,9.339774557165862,3.22061191626409
2021,WALKER'S POINT,100,40,3787,2.6406126221283337,1.0562450488513335
2021,WALNUT HILL,70,20,630,11.11111111111111,3.1746031746031744
2021,WASHINGTON HEIGHTS,43,17,1174,3.6626916524701874,1.4480408858603067
2021,WASHINGTON PARK,147,60,1375,10.690909090909091,4.363636363636364
2021,WEST VIEW,7,3,523,1.338432122370937,0.5736137667304015
2021,WHITE MANOR,13,2,269,4.83271375464684,0.7434944237918215
2021,WICK FIELD,1,0,212,0.4716981132075472,0
2021,WILLIAMSBURG,55,21,626,8.78594249201278,3.3546325878594248
2021,WILSON PARK,10,3,572,1.7482517482517483,0.5244755244755245
2021,WOODLAND COURT,26,7,346,7.514450867052023,2.023121387283237
2021,WYRICK PARK,17,11,580,2.9310344827586206,1.896551724137931
2021,YANKEE HILL,54,26,2801,1.9278828989646553,0.9282399143163157
2022,ALCOTT PARK,2,1,57,3.508771929824561,1.7543859649122806
2022,ALVERNO,17,2,287,5.923344947735192,0.6968641114982579
2022,ARLINGTON GARDENS,42,15,370,11.351351351351353,4.054054054054054
2022,ARLINGTON HEIGHTS,115,52,1259,9.134233518665608,4.130262112787927
2022,AVENUES WEST,326,146,5893,5.531987103342949,2.477515696589174
2022,BAY VIEW,56,22,4519,1.2392122150918343,0.4868333702146493
2022,BLUEMOUND HEIGHTS,26,9,746,3.485254691689008,1.2064343163538873
2022,BORCHERT FIELD,141,54,1006,14.015904572564613,5.36779324055666
2022,BRADLEY ESTATES,35,10,758,4.617414248021108,1.3192612137203166
2022,BREWER'S HILL,28,10,1158,2.4179620034542317,0.8635578583765112
2022,BRYNWOOD,1,1,14,7.142857142857142,7.142857142857142
2022,BURNHAM PARK,33,14,1136,2.9049295774647885,1.232394366197183
2022,CALUMET FARMS,59,22,711,8.29817158931083,3.0942334739803097
2022,CAMBRIDGE HEIGHTS,27,10,927,2.912621359223301,1.0787486515641855
2022,CANNON PARK,6,3,648,0.9259259259259258,0.4629629629629629
2022,CAPITOL HEIGHTS,102,29,916,11.135371179039302,3.1659388646288207
2022,CASTLE MANOR,70,26,975,7.179487179487179,2.666666666666667
2022,CLARKE SQUARE,153,76,1802,8.49056603773585,4.217536071032186
2022,CLAYTON CREST,4,4,48,8.333333333333332,8.333333333333332
2022,CLOCK TOWER ACRES,27,11,454,5.947136563876652,2.4229074889867843
2022,COLD SPRING PARK,105,49,831,12.63537906137184,5.896510228640193
2022,COLUMBUS PARK,70,21,755,9.271523178807946,2.781456953642384
2022,CONCORDIA,304,163,1860,16.344086021505376,8.763440860215054
2022,COOPER PARK,22,7,470,4.680851063829787,1.4893617021276597
2022,DINEEN PARK,195,69,1184,16.469594594594593,5.827702702702703
2022,DOWNER WOODS,8,2,418,1.9138755980861244,0.4784688995215311
2022,DRETZKA PARK,1,0,99,1.0101010101010102,0
2022,ENDERIS PARK,61,20,746,8.176943699731904,2.680965147453083
2022,ESTABROOK PARK,1,0,379,0.2638522427440633,0
2022,EUCLID PARK,4,3,605,0.6611570247933884,0.49586776859504134
2022,FAIR PARK,3,1,224,1.3392857142857142,0.4464285714285714
2022,FAIRFIELD,39,21,301,12.956810631229235,6.976744186046512
2022,FAIRVIEW,6,4,332,1.8072289156626504,1.2048192771084338
2022,FERNWOOD,5,1,486,1.02880658436214,0.205761316872428
2022,FLORIST HIGHLANDS,6,1,204,2.941176470588235,0.49019607843137253
2022,FOREST HOME HILLS,70,29,988,7.08502024291498,2.935222672064777
2022,FRANKLIN HEIGHTS,271,110,2234,12.130707251566697,4.923903312444047
2022,FREEDOM VILLAGE,2,2,223,0.8968609865470852,0.8968609865470852
2022,GARDEN HOMES,102,36,719,14.186369958275383,5.006954102920723
2022,GOLDEN VALLEY,11,4,320,3.4375000000000004,1.25
2022,GOLDMAN PARK,2,1,231,0.8658008658008658,0.4329004329004329
2022,GRA-RAM,8,3,402,1.9900497512437811,0.7462686567164178
2022,GRACELAND,51,16,392,13.010204081632654,4.081632653061225
2022,GRANTOSA,103,39,604,17.052980132450333,6.456953642384105
2022,GRANVILLE STATION,35,12,701,4.9928673323823105,1.7118402282453637
2022,GRASSLYN MANOR,64,18,833,7.6830732292917165,2.1608643457382954
2022,GROVER HEIGHTS,12,3,94,12.76595744680851,3.1914893617021276
2022,HALYARD PARK,7,2,308,2.272727272727273,0.6493506493506493
2022,HAMPTON HEIGHTS,213,75,1426,14.936886395511923,5.259467040673211
2022,HARAMBEE,368,140,3427,10.738255033557047,4.085205719288007
2022,HARBOR VIEW,11,4,631,1.7432646592709984,0.6339144215530903
2022,HAVENWOODS,19,10,88,21.59090909090909,11.363636363636363
2022,HAWLEY FARMS,9,2,242,3.71900826446281,0.8264462809917356
2022,HAWTHORNE GLEN,1,1,78,1.282051282051282,1.282051282051282
2022,HAYMARKET,60,8,166,36.144578313253014,4.819277108433735
2022,HIGHWOOD ESTATES,10,6,630,1.5873015873015872,0.9523809523809524
